,showId,topic0,topic1,topic2,topic3
0,0,0.5450467946621241,0.05050401266181156,0.0007772853602878399,0.4036719073157765
1,1,0.08525161776851116,0.016093825696773385,0.000380586985421378,0.8982739695492941
2,2,0.8895227518583777,0.00011967441211492875,0.00019999155180050896,0.11015758217770699
3,3,0.7499631017251349,0.0012389353615406837,0.0012276422557223837,0.2475703206576019
4,4,0.43085553551309913,0.00026969898369113714,0.00027459729354752327,0.5686001682096623
5,5,0.6601150943063017,0.058543125195406644,0.05698352647410128,0.2243582540241904
6,6,0.07965696520062818,0.00036567274836970886,0.6757227654092886,0.24425459664171348
7,7,0.3449394126243695,0.39683049286468264,0.1842460440882535,0.0739840504226942
8,8,0.028283693582038978,0.4097727800538063,0.01792821417074012,0.5440153121934146
9,9,0.21797290370621406,0.0002619422668097699,0.39809515962071057,0.38366999440626554
10,10,0.9571160732726379,0.0028312689162157518,0.0028624243585466318,0.03719023345259965
11,11,0.5966211726165225,0.0364600511646061,0.05986250810809,0.30705626811078146
12,12,0.7748050194501902,0.00012652097365400538,0.0001280739086002047,0.22494038566755553
13,13,0.0009677856817188211,0.0009513288145892723,0.68117477900183,0.31690610650186185
14,14,0.019555597645789177,0.00037325113023717793,0.1310616379490574,0.8490095132749164
15,15,0.31012521634635026,0.04541118804512239,0.3298800115239674,0.31458358408455994
16,16,0.059988892568291846,0.00045598158343090146,0.05970881753481395,0.8798463083134633
17,17,0.6303448317017932,0.1438339055151881,0.004260098605674095,0.2215611641773445
18,18,0.10642658760697303,0.03658113888218397,0.10968123427983371,0.7473110392310093
19,19,0.4481280695446473,0.0004077967473796024,0.11416614863766927,0.4372979850703039
20,20,0.12961693827660836,0.00041077934826157063,0.10527994908213599,0.7646923332929941
21,21,0.0004345762810976014,0.4222687168342241,0.002093219154559662,0.5752034877301186
22,22,0.961460520896281,0.0014065688156504016,0.0014808330991670777,0.035652077188901565
23,23,0.8593663438471184,0.0006328431253285392,0.0006386011798059063,0.13936221184774708
24,24,0.0009444892261549424,0.000921628272237539,0.0009299400753858236,0.9972039424262217
25,25,0.4117726248127981,0.0003839248096717086,0.06408415556176117,0.523759294815769
26,26,0.0005967158878277835,0.0005882798481778506,0.0006040795637497113,0.9982109247002446
27,27,0.4761786457085227,0.051287254187382225,0.08652105568124838,0.3860130444228468
28,28,0.445015342795819,0.0004537533027128483,0.09794791477205259,0.4565829891294155
29,29,0.8052750360275247,0.19417932948888114,0.00027265821936115083,0.00027297626423298437
30,30,0.8136168957253235,0.003636341718221935,0.003551527006116669,0.17919523555033798
31,31,0.4498084325529578,0.19858054331132977,0.0008378809416702277,0.3507731431940422
32,32,0.1901097670016396,0.02707077369681537,0.7792544578361128,0.003565001465432169
33,33,0.987152977255259,8.779587326350691e-05,0.012671033098012327,8.81937734651826e-05
34,34,0.7168062981715135,0.07544179195972829,0.10483820784887206,0.10291370201988607
35,35,0.0014692996118715548,0.08434530147413563,0.5313152094003509,0.38287018951364205
36,36,0.0006802654075954431,0.0006806387460055404,0.7124447750067447,0.28619432083965424
37,37,0.5212031788017863,0.47816680934564454,0.00031610372402354666,0.0003139081285454873
38,38,0.7593920196056811,0.2381045085745387,0.0012540577169859366,0.0012494141027942591
39,39,0.5840647022941684,0.09199947076731974,0.32253757447668224,0.0013982524618295804
40,40,0.6970660379927204,0.03055908437997356,0.031152853167572984,0.24122202445973312
41,41,0.00042171587803021036,0.0004386756233402413,0.0004132834436949239,0.9987263250549346
42,42,0.0003671131447677001,0.16295623399174639,0.4312769489637051,0.4053997038997808
43,43,0.16401608135667453,0.7511515481549779,0.014346818133066284,0.07048555235528146
