,showId,topic0,topic1,topic2,topic3,topic4
0,0,0.1516498639155519,0.6275550052396333,0.0005972230837354562,0.12692155604979463,0.09327635171128476
1,1,0.24894741793214414,0.5696438375259185,0.13696381965580393,0.04414190482470343,0.00030302006142974804
2,2,0.023808123360952223,0.776027568099707,8.983345079419461e-05,0.19998409175067944,9.038333786704937e-05
3,3,0.04114665097989595,0.9557398097184884,0.0010298296675771556,0.0010409896950580669,0.0010427199389804985
4,4,0.008272361644894251,0.972532874367419,0.00021112089210930106,0.00021151903276167336,0.018772124062815906
5,5,0.017986143933170027,0.9751817761939353,0.00010693316344681366,0.006618095954052277,0.0001070507553954961
6,6,0.9988321251658354,0.00029297722717743104,0.00028907622237326854,0.00029353965029944905,0.0002922817343145024
7,7,0.0008935634818292595,0.3465987725342548,0.0008573652710823537,0.21294802308671731,0.43870227562611624
8,8,0.0003044916734842196,0.12807887778174987,0.8201256930239279,0.051185690522057396,0.0003052469987805985
9,9,0.882528770750142,0.11678001674335182,0.00022910802330522123,0.00023110234457139164,0.000231002138629544
10,10,0.0021863907086060686,0.862175055469389,0.002179354677817407,0.13125383444083882,0.0022053647033485994
11,11,0.00027762243550612296,0.8998605624503647,0.0002771260952384593,0.04535331909279864,0.05423136992609218
12,12,9.827514645936454e-05,0.9399101682073753,9.774653390410866e-05,0.022498380685229177,0.037395429427032126
13,13,0.9963369930737075,0.0009173377972957924,0.0009136278896089687,0.0009147637893060826,0.0009172774500817305
14,14,0.7352620275960561,0.26372239184145324,0.0003361062263163153,0.00033934415898603966,0.0003401301771884866
15,15,0.00023200999485320167,0.6771999803431533,0.00023273205046932924,0.21602048599196402,0.10631479161956009
16,16,0.26734126466655367,0.6411136367150927,0.00037945277184568937,0.07217509566068374,0.01899055018582437
17,17,0.00011904968111616247,0.1096042802339199,0.00011880797111593666,0.21625248487582097,0.6739053772380271
18,18,0.0001365419814867453,0.7352612668127694,0.00013683670282330386,0.23250160934064162,0.03196374516227884
19,19,0.6046977390618486,0.16983114830352022,0.0003195737920414233,0.22482842866679964,0.00032311017579021744
20,20,0.5625031406939571,0.3855422838614618,0.0003295749818116711,0.00033191381365237,0.05129308664911693
21,21,0.0003330407663270738,0.10323746499099422,0.8675167559719642,0.028578311381892124,0.0003344268888223418
22,22,0.001208313707317324,0.9658056422145148,0.0012012336146385004,0.030570495651486247,0.0012143148120429392
23,23,0.2347308019939856,0.7637636646522731,0.0004974194414279077,0.0005035753446011888,0.0005045385677122963
24,24,0.7901406811910879,0.20761389278506243,0.0007453992359156157,0.0007486253750215863,0.0007514014129125392
25,25,0.19528678761124674,0.7561601387353654,0.0003090200500812807,0.00030765295907896403,0.04793640064422757
26,26,0.6065423362332165,0.3496729641507918,0.0004886715701159505,0.0004899767847300689,0.04280605126114572
27,27,0.10696719615456678,0.7156227171024284,0.0007177180834061498,0.17597250188019845,0.0007198667794001133
